code,icao,name,latitude,longitude,elevation,time_zone,city,state,country
CIM,SKCM,Cimitarra,6.483333,-74.11667,410,America/Bogota,Puerto Parra,Santander,CO
CLO,SKCL,Alfonso B. Aragon Airport,3.543056,-76.381386,3067,America/Bogota,Palmira,Valle del Cauca,CO
CCO,SKCI,Carimagua,4.56417,-71.3364,544,America/Bogota,N/A,N/A,CO
CTG,SKCG,Rafael Nunez International Airport,10.44164285,-75.5130574949212,42,America/Bogota,Cartagena,Bolivar,CO
COG,SKCD,Mandinga,5.08333,-76.7,157,America/Bogota,Condoto,Choco,CO
CUC,SKCC,Camilo Daza International Airport,7.92892685,-72.5115160292483,1040,America/Bogota,Cucuta,Norte de Santander,CO
CPB,SKCA,Capurgana,8.632427,-77.3501218698157,95,America/Bogota,N/A,N/A,CO
BUN,SKBU,Buenaventura,3.825,-76.995834,91,America/Bogota,Buenaventura,Valle del Cauca,CO
BSC,SKBS,Bahia Solano,6.2030693,-77.395243547406,68,America/Bogota,Mutis,Choco,CO
BAQ,SKBQ,E Cortissoz Airport,10.886398,-74.77618,75,America/Bogota,Malambo,Atlantico,CO
BOG,SKBO,El Dorado International Airport,4.70289475,-74.1487499180044,8382,America/Bogota,Funza,Cundinamarca,CO
NBB,SKBM,Barrancominas,3.333333,-70.333336,580,America/Bogota,N/A,N/A,CO
BGA,SKBG,Palonegro International Airport,7.12665205,-73.1829839742629,3884,America/Bogota,Lebrija,Santander,CO
ELB,SKBC,San Bernado,9.048889,-73.97417,101,America/Bogota,El Banco,Magdalena,CO
ARQ,SKAT,Arauquita,7.033056,-71.43166,508,America/Caracas,Arauquita,Arauca,CO
PUU,SKAS,Puerto Asis Airport,0.5056368,-76.5008699537092,816,America/Bogota,N/A,N/A,CO
AXM,SKAR,El Eden Airport,4.452869,-75.76804,4012,America/Bogota,La Tebaida,Quindio,CO
API,SKAP,Apiay,4.06889,-73.051903,580,America/Bogota,Puerto Lopez,Meta,CO
ADN,SKAN,Andes,5.666667,-75.933334,6056,America/Bogota,Los Andes,Antioquia,CO
AFI,SKAM,Amalfi,6.8953157,-75.0467996,4855,America/Bogota,Amalfi,Antioquia,CO
ACD,SKAD,Acandi,8.516667,-77.3,72,America/Bogota,N/A,N/A,CO
ACR,SKAC,Araracuara,-0.383333,-72.3,482,America/Bogota,N/A,N/A,CO
CJZ,SJZA,Cajazeiras Airport,-6.882778,-38.615833,1099,America/Fortaleza,Cajazeiras,N/A,BR
ARS,SJVO,Aragarcas,-15.8993998,-52.2411003,1033,America/Sao_Paulo,Aragarcas,Goias,BR
RIG,SJRG,Rio Grande,-32.0824308,-52.1662009078699,49,America/Sao_Paulo,Rio Grande,Rio Grande do Sul,BR
AQM,SJOG,Ariquemes,-9.933333,-63.066666,334,America/Porto_Velho,Ariquemes,Rondonia,BR
NPR,SJNP,Novo Progresso Municipal,-7.125833,-55.400833,751,America/Santarem,N/A,N/A,BR
CFO,SJHG,Confreza,-10.633333,-51.566666,751,America/Cuiaba,N/A,N/A,BR
JUA,SIZX,Juara,-11.333333,-57.466667,870,America/Cuiaba,N/A,N/A,BR
FRC,SIMK,Franca,-20.551945,-47.4375,3303,America/Sao_Paulo,Franca,Sao Paulo,BR
LVR,SILC,Mun. Do Bom Futuro,-13.037861,-55.95025,1312,America/Cuiaba,N/A,N/A,BR
PJC,SGPJ,Pedro Juan Caballero,-22.5,-55.666668,2017,America/Asuncion,N/A,N/A,PY
PIL,SGPI,Pilar,-26.866667,-58.333332,144,America/Asuncion,Pilar,Neembucu,PY
OLK,SGOL,Fuerte Olimpo,-21.996944,-57.883057,305,America/Asuncion,N/A,N/A,PY
ESG,SGME,Mariscal Estigarribia,-22.0479425,-60.6217424772241,518,America/Asuncion,N/A,N/A,PY
PCJ,SGLV,Puerto La Victoria,-22.268888,-57.92861,252,America/Asuncion,N/A,N/A,PY
FLM,SGFI,Filadelfia,-22.357841,-60.053753667302,495,America/Asuncion,Filadelfia,Boqueron,PY
AGT,SGES,Alejo Garcia Airport,-25.5,-54.833332,810,America/Asuncion,Colonia Yguazu,Alto Parana,PY
ENO,SGEN,Teniente Prim Alarcon,-27.25,-55.833332,449,America/Asuncion,Capitan Miranda,Itapua,PY
CIO,SGCO,MCAL Lopez,-23.434444,-57.41833,252,America/Asuncion,Concepcion,Concepcion,PY
BFA,SGBN,Bahia Negra,-20.2311349,-58.1705702242016,242,America/Asuncion,N/A,N/A,PY
AYO,SGAY,Ayolas,-27.36826105,-56.854144310497,206,America/Asuncion,Ayolas,Misiones,PY
ASU,SGAS,Silvio Pettirossi International Airport,-25.2355931,-57.5156388418973,232,America/Asuncion,Limpio,Central,PY
PSY,SFAL,Port Stanley,-51.7,-57.85,62,Atlantic/Stanley,N/A,N/A,FK
TUA,SETU,Tulcan,0.8096193,-77.7079237248148,9649,America/Guayaquil,Tulcan,Carchi,EC
TPC,SETR,Tarapoa,-1.416667,-76.78333,814,America/Guayaquil,Montalvo,Pastaza,EC
ESM,SETN,Esmeraldas Airport,0.966667,-79.625,32,America/Guayaquil,Esmeraldas,Esmeraldas,EC
LOH,SETM,Ciudad de Catamayo Airport,-3.993611,-79.37361,3943,America/Guayaquil,Catamayo,Loja,EC
TPN,SETI,Tiputini,-0.77613245,-75.5283959880682,997,America/Guayaquil,Pantoja,Loreto,EC
TSC,SETH,Taisha,-2.3814296,-77.5033031,1669,America/Guayaquil,Taisha,Morona-Santiago,EC
BHA,SESV,Bahia De Caraquez,-0.6,-80.416664,0,America/Guayaquil,Bahia de Caraquez,Manabi,EC
SCY,SEST,San Cristobal Airport,-0.833333,-89.433334,439,Pacific/Galapagos,Puerto Baquerizo Moreno,Galapagos,EC
PTZ,SESM,Pastaza,-2,-77,1112,America/Guayaquil,N/A,N/A,EC
SUQ,SESC,Sucua,-2.466667,-78.166664,2667,America/Guayaquil,Sucua,Morona-Santiago,EC
SNC,SESA,General Ulpiano Paez Airport,-2.2,-80.98333,29,America/Guayaquil,Salinas,Santa Elena,EC
ETR,SERO,Coronel Artilleria Victor Larrea Airport,-3.442288,-79.9962930340367,36,America/Guayaquil,Santa Rosa,El Oro,EC
UIO,SEQM,Mariscal Sucre International Airport,-0.145528,-78.49053,7841,America/Guayaquil,Quito,Pichincha,EC
PVO,SEPV,Reales Tamarindos,-1.04184945,-80.4718711047161,88,America/Guayaquil,Portoviejo,Manabi,EC
